data,altura_prevista_cm,nivel_alerta,houve_poda,id_regiao,inclinacao_graus,area_de_risco
2026-09-14,8.56,medio,False,RA-03,11.8,medio
2026-09-21,9.75,medio,False,RA-03,11.8,medio
2026-09-28,4.23,baixo,True,RA-03,11.8,medio
2026-10-05,5.73,baixo,False,RA-03,11.8,medio
2026-10-12,7.26,medio,False,RA-03,11.8,medio
2026-10-19,8.81,medio,False,RA-03,11.8,medio
2026-10-26,4.23,baixo,True,RA-03,11.8,medio
2026-11-02,5.59,baixo,False,RA-03,11.8,medio
2026-11-09,7.0,medio,False,RA-03,11.8,medio
2026-11-16,8.44,medio,False,RA-03,11.8,medio
2026-11-23,9.86,medio,False,RA-03,11.8,medio
2026-11-30,4.23,baixo,True,RA-03,11.8,medio
2026-12-07,5.8,baixo,False,RA-03,11.8,medio
2026-12-14,7.37,medio,False,RA-03,11.8,medio
2026-12-21,8.94,medio,False,RA-03,11.8,medio
2026-12-28,4.23,baixo,True,RA-03,11.8,medio
2027-01-04,5.71,baixo,False,RA-03,11.8,medio
2027-01-11,7.22,medio,False,RA-03,11.8,medio
2027-01-18,8.77,medio,False,RA-03,11.8,medio
2027-01-25,4.23,baixo,True,RA-03,11.8,medio
2027-02-01,5.78,baixo,False,RA-03,11.8,medio
2027-02-08,7.37,medio,False,RA-03,11.8,medio
2027-02-15,8.98,medio,False,RA-03,11.8,medio
2027-02-22,4.23,baixo,True,RA-03,11.8,medio
2027-03-01,5.71,baixo,False,RA-03,11.8,medio
2027-03-08,7.21,medio,False,RA-03,11.8,medio
2027-03-15,8.76,medio,False,RA-03,11.8,medio
2027-03-22,4.23,baixo,True,RA-03,11.8,medio
2027-03-29,5.71,baixo,False,RA-03,11.8,medio
2027-04-05,7.17,medio,False,RA-03,11.8,medio
2027-04-12,8.63,medio,False,RA-03,11.8,medio
2027-04-19,4.23,baixo,True,RA-03,11.8,medio
2027-04-26,5.71,baixo,False,RA-03,11.8,medio
2027-05-03,6.82,baixo,False,RA-03,11.8,medio
2027-05-10,7.98,medio,False,RA-03,11.8,medio
2027-05-17,9.12,medio,False,RA-03,11.8,medio
2027-05-24,4.23,baixo,True,RA-03,11.8,medio
2027-05-31,5.33,baixo,False,RA-03,11.8,medio
2027-06-07,6.38,baixo,False,RA-03,11.8,medio
2027-06-14,7.44,medio,False,RA-03,11.8,medio
2027-06-21,8.48,medio,False,RA-03,11.8,medio
2027-06-28,9.53,medio,False,RA-03,11.8,medio
2027-07-05,4.23,baixo,True,RA-03,11.8,medio
2027-07-12,5.19,baixo,False,RA-03,11.8,medio
2027-07-19,6.21,baixo,False,RA-03,11.8,medio
2027-07-26,7.23,medio,False,RA-03,11.8,medio
2027-08-02,8.16,medio,False,RA-03,11.8,medio
2027-08-09,9.08,medio,False,RA-03,11.8,medio
2026-08-17,4.31,baixo,False,RA-04,22.3,alto
2026-08-24,4.97,baixo,False,RA-04,22.3,alto
2026-08-31,5.69,baixo,False,RA-04,22.3,alto
2026-09-07,6.69,baixo,False,RA-04,22.3,alto
2026-09-14,7.66,medio,False,RA-04,22.3,alto
2026-09-21,8.49,medio,False,RA-04,22.3,alto
2026-09-28,9.45,medio,False,RA-04,22.3,alto
2026-10-05,4.31,baixo,True,RA-04,22.3,alto
2026-10-12,5.4,baixo,False,RA-04,22.3,alto
2026-10-19,6.52,baixo,False,RA-04,22.3,alto
2026-10-26,7.65,medio,False,RA-04,22.3,alto
2026-11-02,8.74,medio,False,RA-04,22.3,alto
2026-11-09,9.77,medio,False,RA-04,22.3,alto
2026-11-16,4.31,baixo,True,RA-04,22.3,alto
2026-11-23,5.33,baixo,False,RA-04,22.3,alto
2026-11-30,6.4,baixo,False,RA-04,22.3,alto
2026-12-07,7.54,medio,False,RA-04,22.3,alto
2026-12-14,8.68,medio,False,RA-04,22.3,alto
2026-12-21,9.72,medio,False,RA-04,22.3,alto
2026-12-28,4.31,baixo,True,RA-04,22.3,alto
2027-01-04,5.44,baixo,False,RA-04,22.3,alto
2027-01-11,6.58,baixo,False,RA-04,22.3,alto
2027-01-18,7.76,medio,False,RA-04,22.3,alto
2027-01-25,8.96,medio,False,RA-04,22.3,alto
2027-02-01,4.31,baixo,True,RA-04,22.3,alto
2027-02-08,5.5,baixo,False,RA-04,22.3,alto
2027-02-15,6.71,baixo,False,RA-04,22.3,alto
2027-02-22,7.95,medio,False,RA-04,22.3,alto
2027-03-01,9.03,medio,False,RA-04,22.3,alto
2027-03-08,4.31,baixo,True,RA-04,22.3,alto
2027-03-15,5.32,baixo,False,RA-04,22.3,alto
2027-03-22,6.34,baixo,False,RA-04,22.3,alto
2027-03-29,7.4,medio,False,RA-04,22.3,alto
2027-04-05,8.41,medio,False,RA-04,22.3,alto
2027-04-12,9.32,medio,False,RA-04,22.3,alto
2027-04-19,4.31,baixo,True,RA-04,22.3,alto
2027-04-26,5.34,baixo,False,RA-04,22.3,alto
2027-05-03,6.2,baixo,False,RA-04,22.3,alto
2027-05-10,7.08,medio,False,RA-04,22.3,alto
2027-05-17,7.97,medio,False,RA-04,22.3,alto
2027-05-24,8.75,medio,False,RA-04,22.3,alto
2027-05-31,9.58,medio,False,RA-04,22.3,alto
2027-06-07,4.31,baixo,True,RA-04,22.3,alto
2027-06-14,5.04,baixo,False,RA-04,22.3,alto
2027-06-21,5.84,baixo,False,RA-04,22.3,alto
2027-06-28,6.65,baixo,False,RA-04,22.3,alto
2027-07-05,7.38,medio,False,RA-04,22.3,alto
2027-07-12,8.06,medio,False,RA-04,22.3,alto
2027-07-19,8.76,medio,False,RA-04,22.3,alto
2027-07-26,9.45,medio,False,RA-04,22.3,alto
2027-08-02,4.31,baixo,True,RA-04,22.3,alto
2027-08-09,4.97,baixo,False,RA-04,22.3,alto
